Description,Part Number,Manufacturer,Cost Price,Trade Price,Sell Price (Tier 1 (Buy)),Group (Ignored for Updates),Subgroup 1 (Ignored for Updates),Search Terms,Notes
Aristocat Charcoal Grey (2.5 M),CA80356ABI-6DF01,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Charcoal Grey 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Charcoal Grey (4 M),CA80356ABI-A3C4C,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Charcoal Grey  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Charcoal Grey (5 M),CA80356ABI-668C5,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Charcoal Grey  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Eskimo Kiss (2.5 M),CA80356ABI-AAAE5,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Eskimo Kiss 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Eskimo Kiss (4 M),CA80356ABI-D3E85,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Eskimo Kiss  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Eskimo Kiss (5 M),CA80356ABI-045A2,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Eskimo Kiss  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Pewter (2.5 M),CA80356ABI-86B5B,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Pewter 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Pewter (4 M),CA80356ABI-91CA0,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Pewter  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Pewter (5 M),CA80356ABI-D0639,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Pewter  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Arctic Fox (2.5 M),CA80356ABI-1BD8B,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Arctic Fox 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Arctic Fox (4 M),CA80356ABI-0D896,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Arctic Fox  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Arctic Fox (5 M),CA80356ABI-E0B3A,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Arctic Fox  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Vanilla (2.5 M),CA80356ABI-E52C7,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Vanilla 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Vanilla (4 M),CA80356ABI-45AAF,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Vanilla  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Vanilla (5 M),CA80356ABI-45B09,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Vanilla  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Rosehip (2.5 M),CA80356ABI-FD9EE,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Rosehip 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Rosehip (4 M),CA80356ABI-94D72,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Rosehip  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Rosehip (5 M),CA80356ABI-13B29,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Rosehip  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Blue Lagoon (2.5 M),CA80356ABI-4E7A6,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Blue Lagoon 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Blue Lagoon (4 M),CA80356ABI-0DF0E,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Blue Lagoon  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Blue Lagoon (5 M),CA80356ABI-5EC7F,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Blue Lagoon  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Cool Mint (2.5 M),CA80356ABI-2D1CC,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Cool Mint 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Cool Mint (4 M),CA80356ABI-0835B,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Cool Mint  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Cool Mint (5 M),CA80356ABI-FB9C5,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Cool Mint  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Gazelle (2.5 M),CA80356ABI-22A55,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Gazelle 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Gazelle (4 M),CA80356ABI-C45B5,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Gazelle  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Gazelle (5 M),CA80356ABI-CEFBD,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Gazelle  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Mother of Pearl (2.5 M),CA80356ABI-51599,Abingdon Carpets,32.475,32.475,64.58333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Mother of Pearl 2.5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Mother of Pearl (4 M),CA80356ABI-05CF4,Abingdon Carpets,51.96,51.96,103.33333333333334,Carpet,Carpet,Abingdon Carpets Aristocat  Mother of Pearl  4,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Aristocat Mother of Pearl (5 M),CA80356ABI-FAE1E,Abingdon Carpets,64.95,64.95,129.16666666666669,Carpet,Carpet,Abingdon Carpets Aristocat  Mother of Pearl  5,Price per SQM: £31.00 inc VAT; Locations: Twickenham; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Light Wolfswood (2.5 M),CA12771ABI-7673A,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral Light Wolfswood 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Light Wolfswood (4 M),CA12771ABI-CD5F9,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral Light Wolfswood  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Light Wolfswood (5 M),CA12771ABI-35455,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral Light Wolfswood  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Moccasin (2.5 M),CA12771ABI-DAA6D,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Moccasin 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Moccasin (4 M),CA12771ABI-96F2F,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Moccasin  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Moccasin (5 M),CA12771ABI-84781,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Moccasin  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Seagull (2.5 M),CA12771ABI-829EB,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Seagull 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Seagull (4 M),CA12771ABI-7D00B,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Seagull  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Seagull (5 M),CA12771ABI-D44A4,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Seagull  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Silverhill (2.5 M),CA12771ABI-7F4C2,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Silverhill 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Silverhill (4 M),CA12771ABI-2F9AA,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Silverhill  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Silverhill (5 M),CA12771ABI-16EA5,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Silverhill  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Steel (2.5 M),CA12771ABI-BA35C,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Steel 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Steel (4 M),CA12771ABI-06DC8,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Steel  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Steel (5 M),CA12771ABI-46B99,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Steel  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Stone (2.5 M),CA12771ABI-8E783,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Stone 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Stone (4 M),CA12771ABI-5A09A,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Stone  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Stone (5 M),CA12771ABI-8C23F,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Stone  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Stoney Bridge (2.5 M),CA12771ABI-417C1,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Stoney Bridge 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Stoney Bridge (4 M),CA12771ABI-817BA,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Stoney Bridge  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Stoney Bridge (5 M),CA12771ABI-AF8A1,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Stoney Bridge  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Storm Grey (2.5 M),CA12771ABI-CB9BF,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Storm Grey 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Storm Grey (4 M),CA12771ABI-87982,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Storm Grey  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Storm Grey (5 M),CA12771ABI-3F73F,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Storm Grey  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Valerian Steel (2.5 M),CA12771ABI-FBEF0,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Valerian Steel 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Valerian Steel (4 M),CA12771ABI-94672,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Valerian Steel  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Valerian Steel (5 M),CA12771ABI-7427D,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Valerian Steel  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Varys (2.5 M),CA12771ABI-6371C,Abingdon Carpets,34.875,34.875,68.75,Carpet,Carpet,Abingdon Carpets Balmoral  Varys 2.5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Varys (4 M),CA12771ABI-95370,Abingdon Carpets,55.8,55.8,110.0,Carpet,Carpet,Abingdon Carpets Balmoral  Varys  4,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Varys (5 M),CA12771ABI-6269F,Abingdon Carpets,69.75,69.75,137.5,Carpet,Carpet,Abingdon Carpets Balmoral  Varys  5,Price per SQM: £33.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Light Wolfswood (2.5 M),CA64985ABI-7673A,Abingdon Carpets,38.025000000000006,38.025000000000006,77.08333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe Light Wolfswood 2.5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Light Wolfswood (4 M),CA64985ABI-CD5F9,Abingdon Carpets,60.84,60.84,123.33333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe Light Wolfswood  4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Light Wolfswood (5 M),CA64985ABI-35455,Abingdon Carpets,76.05000000000001,76.05000000000001,154.16666666666669,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe Light Wolfswood  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Moccasin (2.5 M),CA64985ABI-DAA6D,Abingdon Carpets,38.025000000000006,38.025000000000006,77.08333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Moccasin 2.5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Moccasin (4 M),CA64985ABI-96F2F,Abingdon Carpets,60.84,60.84,123.33333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Moccasin  4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Moccasin (5 M),CA64985ABI-84781,Abingdon Carpets,76.05000000000001,76.05000000000001,154.16666666666669,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Moccasin  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Seagull (2.5 M),CA64985ABI-829EB,Abingdon Carpets,38.025000000000006,38.025000000000006,77.08333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Seagull 2.5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Seagull (4 M),CA64985ABI-7D00B,Abingdon Carpets,60.84,60.84,123.33333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Seagull  4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Seagull (5 M),CA64985ABI-D44A4,Abingdon Carpets,76.05000000000001,76.05000000000001,154.16666666666669,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Seagull  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Silverhill (2.5 M),CA64985ABI-7F4C2,Abingdon Carpets,38.025000000000006,38.025000000000006,77.08333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Silverhill 2.5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Silverhill (4 M),CA64985ABI-2F9AA,Abingdon Carpets,60.84,60.84,123.33333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Silverhill  4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Silverhill (5 M),CA64985ABI-16EA5,Abingdon Carpets,76.05000000000001,76.05000000000001,154.16666666666669,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Silverhill  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Steel (2.5 M),CA64985ABI-BA35C,Abingdon Carpets,38.025000000000006,38.025000000000006,77.08333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Steel 2.5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Steel (4 M),CA64985ABI-06DC8,Abingdon Carpets,60.84,60.84,123.33333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Steel  4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Steel (5 M),CA64985ABI-46B99,Abingdon Carpets,76.05000000000001,76.05000000000001,154.16666666666669,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Steel  5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Stone (2.5 M),CA64985ABI-8E783,Abingdon Carpets,38.025000000000006,38.025000000000006,77.08333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Stone 2.5,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
Balmoral Deluxe Stone (4 M),CA64985ABI-5A09A,Abingdon Carpets,60.84,60.84,123.33333333333334,Carpet,Carpet,Abingdon Carpets Balmoral Deluxe  Stone  4,Price per SQM: £37.00 inc VAT; Locations: None; Updated: 07-Jun-2024; Data synced from Rakata
