Supplier ID,Name,Account No,Email,Work Phone,Website,Mail Street Address,Mail Suburb,Mail State,Mail Post Code,Mail Country
167.0,ECS,,carpetworkslondon@gmail.com,07974 921557,https://www.ecsrugs.co.uk/,"Unit 1 & 6, 131 Ashford Road",Laleham,Middlesex,TW18 1RS,United Kingdom
166.0,EdgeCo,,office@edgeco.co.uk,01525 222757,https://edgeco.co.uk/,"Unit 1 Icknield Way Farm, Tring Road",Dunstable,Bedfordshire,LU6 2JX,United Kingdom
86.0,Elements London,,info@elements.london,02073945016,https://elements.london/,"Unit 2 Deptford Trading Estate, Blackhorse Road",Deptford,London,SE8 5HY,United Kingdom
57.0,Fibre,F1957,sales@fibreflooring.com,08444 142 177,https://www.fibreflooring.com/,Units 7-10 Loddiswell Business Park,Kingsbridge,Devon,TQ7 4QG,United Kingdom
11.0,Fleetwood Fox,,info@fleetwoodfox.com,01823667337,https://fleetwoodfox.com,"Unit 4 Blackdown Business Park, Sylvan Road",Wellington,Somerset,TA21 8ST,United Kingdom
58.0,Furlong Flooring,WOWO01,sales_southern@furlongflooring.com,01322628707,https://www.furlongflooring.co.uk,Unit 283 Carnfield Place,Preston,Lancashire,PR5 8AN,United Kingdom
59.0,Gaskell Wool Rich,3770,sales@gaskellwoolrich.co.uk,01827 831 525,https://www.gaskellwoolrich.co.uk,"Relay Park, Relay Drive",Tamworth,Staffordshire,B77 5PR,United Kingdom
60.0,Hall’s Floorings,6315,sales@hallsfloorings.com,02088031400,https://hallsfloorings.b2b-payments.co.uk,Gorsey Lane,Coleshill,Warwickshire,B46 1JU,United Kingdom
61.0,Hammer Carpets,7308,infouk@hammercarpetsuk.com,01473826870,http://www.hammercarpets.com,"Matrix Business Park, 12 Eaton Avenue",Chorley,Lancashire,PR7 7NA,United Kingdom
62.0,Harvey Maria,092109,info@harveymaria.com,08456801231,https://www.harveymaria.com/,"The Old Dairy, Danwirth Farm, Cuckfield Road",Hurtspierpoint,West Sussex,BN6 9GL,United Kingdom
63.0,Hugh Mackay,WWOV031,amie@viewlogistics.co.uk,01429892555,http://www.hughmackay.co.uk,Park View Road East,Hartlepool,County Durham,TS25 1HT,United Kingdom
64.0,ITC,12479,joost@itcnaturalluxuryflooring.com,01622534041,https://www.itcnaturalluxuryflooring.com,Schering 45,Genemuiden,Overijssel,8281 JW,The Netherlands
87.0,Jacaranda,,sales@jacarandacarpets.com,01536762697,https://www.jacarandacarpets.com/en/,1 Cockerel Rise,Desborough,Northamptonshire,NN14 2WE,United Kingdom
66.0,Kersaint Cobb,11828,sales@kersaintcobb.co.uk,01675430430,https://www.kersaintcobb.co.uk,Gorsey Lane,Coleshill,Warwickshire,B46 1JU,United Kingdom
67.0,Lamett,4529,Salma.Ben.Seddik@lamett.eu,003256774515,https://lamett.eu/en/,Ter Donkt 2,Deerlijk,West Flanders,8540,Belgium
68.0,Lano,CA2301315,marketing@lano.be,003256654000,https://www.lano.com/en,Venetiëlaan 33,Harelbeke,West Flanders,8530,Belgium
10.0,Lewis Abbott,WOV01,sales@lewisabbott.co.uk,020 7277 7880,http://www.lewisabbott.co.uk,"Kent Park Industrial Estate, Ruby Street",Southwark,London,SE15 1LR,United Kingdom
120.0,Off The Loom,,info@offtheloom.co.uk,02076229929,https://offtheloom.co.uk/,127 Queenstown Road,Wandsworth,London,SW8 3RH,United Kingdom
70.0,Panaget,900236,perrine.ruello@panaget.com,0033299057773,https://www.panaget.com,4 Rue de Briangaud,Redon,Ille-et-Vilaine,35600,France
71.0,Parador,93884,theresa.lasthaus@parador.de,00492541736276,https://www.parador.eu,Millenkamp 7-8,Coesfeld,North Rhine-Westphalia,48653,Germany
82.0,Parallel Flooring,,sales@flooring-trims.com,01673844424,https://flooring-trims.com,"Unit 4 Woodworks Row, Willingham Hall Industrial Estate",Market Rasen,Lincolnshire,LN8 3RH,United Kingdom
72.0,Riviera,,sales@rivierahomeuk.com,01299871446,http://www.rivierahomeuk.co.uk,"Suite 12 Gemini House, Stourport Road",Kidderminster,Worcestershire,DY11 7QL,United Kingdom
121.0,Rols,,info@rolscarpets.com,+3496540 0979,https://www.rolscarpets.com/,"Poligono Industrial Faima, C/ Calp, Nave 71-A",Crevillent,Alicante,03330,Spain
,Salesmark West,,mail@salesmark-west.co.uk,01980 880933,https://salesmark-west.co.uk/,"Unit 1 Stockport Park, Stockport Road",Amesbury,Wiltshire,SP4 7LN,United Kingdom
,Sophie Coney Runners,,info@sophiecooney.co.uk,02078983377,https://sophiecooney.co.uk,77 Blythe Road,Brook Green,London,W14 0HP,United Kingdom
,Staki,,info@flooringsales.co.uk,01372232060,https://staki.lt,Taikos str. 78,Uzusaliai Village,Jonava District,LT-55333,Lithuania
74.0,Ted Todd,WOV010,eamonn@tedtodd.co.uk,01925283018,https://www.tedtodd.co.uk,18 Chesford Grange,Woolston,Cheshire,WA1 4RQ,United Kingdom
75.0,Telenzo,2918,sales@telenzocarpets.co.uk,01422374417,https://www.edeltelenzocarpets.co.uk,"Relay Park, Relay Drive",Tamworth,Staffordshire,B77 5PR,United Kingdom
165.0,The Woven Edge,,info@thewovenedge.com,01562 215115,https://www.thewovenedge.com/,"Stour Vale Mill, Museum Of Carpet, Green Street",Kidderminster,Worcestershire,DY10 1AZ,United Kingdom
123.0,Ulster Carpets,156478,ucm.orders@ulstercarpets.com,02838333177,https://ulstercarpets.com/,"Castleisland Factory, Garvaghy Road, Portadown",Craigavon,County Armagh,BT62 1EE,United Kingdom
76.0,Unnatural Flooring,,info@unnaturalflooring.com,08444 142 166,https://www.unnaturalflooring.com,Heron Valley Orchards,Loddiswell,Devon,TQ7 4EA,United Kingdom
77.0,V4,WOVEN,team@v4woodflooring.co.uk,01276488099,https://www.v4woodflooring.co.uk,"Greenbays Park, Carthouse Lane",Horsell,Surrey,GU21 4YP,United Kingdom
160.0,Victoria Carpets,097573,sales@myvictoria.co.uk,01562 749300,https://www.victoriacarpets.com/,Worcester Road,Kidderminster,Worcestershire,DY10 1JR,United Kingdom
79.0,Westex,WOVE0102,sales@westexflooring.com,01274861334,https://www.westexflooring.com,"Calder Bank Mills, Calder Bankl Road",Dewsbury,West Yorkshire,WF12 9QW,United Kingdom
8.0,WFA,,info@wfa.uk.net,02085016730,https://wfa.uk.net,"Spilsby Road, Harold Hill",Romford,Essex,RM3 8SB,United Kingdom
80.0,Woodpecker,WOVE001,Ashleigh.Warr@woodpeckerflooring.co.uk,02920 888 223,https://woodpeckerflooring.co.uk,"Woodpecker House, 26 Pant Glas Industrial Estate",Bedwas,Caerphilly,CF83 8DR,United Kingdom
,Flooring Sales,WOV01,info@flooringsales.co.uk,"
01372 232 060",https://www.flooringsales.co.uk,"Unit A Blenheim Trade Centre, Blenheim Road",Epsom,Surrey,KT19 9XX,United Kingdom
